Journals,Sentiment
"I had a good time with my kids after school. We played chess, ate dinner, had dessert, and watched a movie together.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.81640625
}"
"I had a good selection of tasks yesterday, and they exceeded my goals (in terms of hours worked and earnings.)  Knowing that the weather had turned cold and miserable, and that at the end of the week my work day's were going to be interrupted by other responsibilities, it was that much more satisfying that I could get more than the average amount of work accomplished yesterday.  I was also able to concentrate on/organize some upcoming chores and personal projects, especially some photography I want to accomplish. Earning more money now puts me at ease about missing some work time later this month when I pursue these types of personal projects.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6728219696969697
}"
"i had a good day that i hoped and prayed for. yestday morning i prayed to God that i wanted a good day and most of all a good profit to come out of my business. thank God for the answered prayer, i made some good deals yestday and today i'm a bit richer than i was.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7507621951219512
}"
"I got to work out, it was hard, but satisfying. This is something that i have been denying myself and I finally am doing it again. I am grateful and happy about it","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6806891025641025
}"
I got to talk with my parents. They called to tell me good news that my cousin got married and is having a baby. It was such a wonderful thing to hear.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7660472972972973
}"
I got to spend time with my family today which was important to me.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8614583333333333
}"
I got to spend time with my cousins Rachael and Emily.  We are very close and we enjoy watching television shows together.  We have snacks and laugh like there's no tomorrow.  I love them so much,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8111111111111111
}"
"i got to spend the day with my wife, it was very refreshing to enjoy each others company.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9032738095238096
}"
I got to read the Bible and my favorite books on the subject of Christianity. It helped me become more at peace and loving towards myself and others.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.75
}"
I got to put christmas lights up with my wife and it was so fun!,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.896484375
}"
"I got some rest that refreshed me after a tiring and bothersome day, so it was a nice step forward somewhat.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6979166666666666
}"
"I got in a good workout at the gym. Despite my injured knee, I worked out for almost an hour. I felt relaxed and good afterward. It was a good day.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.71484375
}"
"I found out yesterday that my relative has endometriosis cancer. Somewhat, we had a feeling about the result but it still made us sad and angry at the same time. She had the symptoms and when the doctor asked them to come earlier than the scheduled appointment, we kind of got the clue. I hope she can be treated and healed.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.5012668918918919
}"
I found out yesterday I have a severe case of bronchitis. At first they thought it was pneumonia until the xray came back negative. I already deal with out of control asthma every day of my life. I'm confused how I got sick. I'm frustrated and upset/,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.46999007936507936
}"
"I found a recipe online and I made it.Sometimes my cooking is not very good, but this time ,it was excellent.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.08919270833333333
}"
I found a new pokemon game edit online and I modified it to suit my needs. It was a nice time because I was able to figure out exactly what I wanted and a way to do it that circumvented my limitations in editing someone else's program.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7483836206896551
}"
I finally finished a hand beaded bracelet that I have been trying to learn for over a month. It made me feel great to have it done. It looks really cute too.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.725328947368421
}"
I felt very obligated,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.020060221354166668
}"
I felt very happy today because all the members of my family were together and we had a very good day eating dinner together and telling funny stories.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9182291666666668
}"
I felt very good and happy about my family as I do everyday. I am very thankful for them.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9315476190476192
}"
I felt very calm and relaxed yesterday while I was relaxing and reading. It was a very nice thing and I like to do it everyday.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8620689655172413
}"
I felt that we bonded a lot yesterday and this was during our lovemaking session.  Truly felt like we had that spiritual connection that you only see in movies,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7890625
}"
I felt so satisfied yesterday. It was one of those days where you are really reassured in your love.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9157608695652174
}"
I felt really happy and proud of myself for getting up and working out. It made me feel accomplished.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9188988095238096
}"
I felt it was very important and salient because I was very happy and I love my family very much. We went out to dinner and had a great time. I love spending time and laughing with my family.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9041193181818182
}"
I felt it was just me and my time. I felt like it was so peaceful. The jog was great and it was refreshing. There are no rules to follow at all when jogging. It's relaxing.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7760416666666666
}"
I felt happy. Yesterday was a pretty important day.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8776041666666666
}"
I felt God wwith me all day yesterday. It made me feel very blessed.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8862847222222222
}"
I felt as if this were just a normal day but actually worse then normal. I had a lot of angry customers at work and I had less coworkers to help me.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.8293269230769231
}"
I felt as if my morning walk made me feel very refreshed and is vital to starting my day off right.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8797554347826086
}"
I felt a bit nervous because I hadn't worked out in a while and I didn't know if my body would be able to handle the stress I was about to put it through personally. That was my biggest fear.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.7825
}"
"I feel that sometimes I can be at my best then I have days where I feel like I'm nothing, it's something that bothers me a lot","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.5376838235294118
}"
I feel so happy when I come home and am able to see my daughter and wife. They are the most important thing to me and it is very salient.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.921875
}"
I feel safe eating and felt that I was satiated.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8173076923076923
}"
"I feel like we're really making good progress on our project at work and I'm happy about that.  Everyone on the project team is motivated to get the job done and considers it important as well as relevant to our greater goals.  Everybody is contributing equally to its success and cooperating with each other, which means it's running smoothly.  I'm proud to be part of this team and proud of the work we're doing together.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8407258064516129
}"
I feel bad because I do have a very bossy and strict boss,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.85625
}"
"I exercised yesterday as I'd planned, going for a power walk and then lifting weights after dinner.  I felt proud about being committed to it and getting it done, although I also found it challenging and dull.  I really had to push myself to start.  Once I started it wasn't bad though.  And now I want to keep doing this and getting in better and better shape.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.38117283950617287
}"
I exercised to help strengthen my hips so the go back into alignment. I felt like I was making progress. I felt cracking and popping in m neck while doing the exercises. This was reassuring.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.508311170212766
}"
"I exercised for the first time in a while yesterday. It was tough getting back into it, but I felt satisfied by the end of it.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.4359879032258064
}"
"I enjoyed my yoga and relaxation. I am always glad when I do it. Plus I walked to the beach, which is a treat.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9052083333333332
}"
I enjoyed my time with my boyfriend because it was our one year anniversary so we just spent a lot of time together and set up Christmas decorations.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8494791666666667
}"
I enjoyed a great lunch with my father.  We had a long talk and enjoyed each other's company.  I enjoyed it very much.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8963541666666667
}"
"I enjoy my days going to the gym.  I ride my bicycle five mile to get there, which is very relaxing.  I have been going for many years and have quite a few people I am getting to  know.  It is good to see them there.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7481971153846154
}"
"I eat a lot of good paste yesterday, I was very happy and excited.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9105902777777778
}"
I did my exercises at the club house. Did 2.2 miles on the treadmill and then lifted weights. I felt really strong and energized today. A really good work out day.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5813301282051282
}"
I decided to stay indoors as it was cold and snowing yesterday.  I said a prayer and was thanking God for the warmth and shelter.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.4871471774193548
}"
I cooked my own hamburger yesterday. It tasted good though it could have been better.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.3179253472222222
}"
I completed a lot of work yesterday. I reached goals I had set out for my self. At the end of the work day I felt like I had accomplished a lot.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.840793918918919
}"
"I completed a big work project that had been going on for months. It felt really great to finish it successfully. It gave me a feeling of accomplishment, pride and confidence.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.737331081081081
}"
"I came home from a hard day of work and not only did my husband put in wood, he also tended to the pets and made dinner. He did all of this before I got home. I was so appreciative and impressed that I actually called my best friend to talk about it.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.41985887096774194
}"
I attended a study group with friends. I looked forward to going and had a great time. I was able to say things that were on my mind and to listen to others as well. Very encouraging.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8508522727272727
}"
I ate to much junk food yesterday,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.9013671875
}"
I ate pizza for breakfast. It was good. I was satisfied. I ate it cold.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7142857142857143
}"
"I answered an email to my sister in law about Thanksgiving dinner. I told her I would not eat some of the foods being served because I don't eat a lot and I eat very healthy compared to her. She got angry that I had the nerve to say that and was very short and terse in her answer back. I was confused because I didn't say anything mean or nasty, just told her my feelings.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.5397418478260869
}"
"I am trying to lose weight and get in better shape. I joined a fitness boot camp that is really pushing me to my limits. I am sore and exhausted after, but I also feel like I am accomplishing my goals.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.4664713541666667
}"
I am trying to eat more healthy and getting limited success.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.25991586538461536
}"
"I am really struggling with my son. He has been diagnosed with autism and adhd but he is very high functioning and near genius level intelligence. Our problem is that he hates everyone in the house. He doesn't want to be part of a family. He doesn't want to have brothers or a mom. He wants to be alone all the time. He is 12. Obviously these are unrealistic thoughts he is having. He makes it so difficult to get along with him. He treats everyone badly and refuses to even try to change his negative behavior, instead using his diagnoses as an excuse for it. He has been to multiple different specialists, now we have one that comes to our home 3x a week and we have made no progress. In over three years. I'm tired.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.5647189349112426
}"
I am proud of myself for continuing my exercise regime. I feel satisfied with myself so far this week. I have exercised for 4 days in a row. I am happy with my progress so far.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8608630952380952
}"
I am looking for a job in a new career field and ding self employed task work in the meantime both did not go well yesterday and created a frustrating experience,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.4125434027777778
}"
I am in a computer architecture course. It is quite technical in nature. I felt blessed to be enrolled in a course that is technical and geared toward my career.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6777871621621622
}"
"I am grateful for my wife. She is the best thing that ever happened to me. Just day to day living with her is joyful. She doesn't need to do anything special in order for me to appreciate her. She got up and while I was rushing around to get ready for an early morning meeting, she made breakfast for us and we got to sit and talk for ten minutes. Made my day.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6147058823529412
}"
I am going to be moving and yesterday I heard that my daughter and granddaughter will be moving to the same area. This made me so happy. Lisa and Emmy will be 3000 miles closer to me soon! How lucky am I?!,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6031901041666666
}"
I am frustrated at the levy failure yesterday.  As I work for the school district I'm nervous my job may go away in the budget cuts.  I'm also concerned for my two kids and how it will affect them in the next few years.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.7205188679245284
}"
I am being transferred to Pittsburgh and I am supposed to start in January.  I have been going back and forth with HR about details of the relocation policy and I have to choose an option soon.  It's a big decision.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.12300531914893616
}"
"I am a Christian.  I pray a lot and rely on my faith, especially in hard times.  I went to the hospital to visit a sick friend.  We prayed together and I left feeling encouraged.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.4371527777777778
}"
"I accomplished many things at work today, and in general, it made me respect my job and the work we do.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8626302083333334
}"
"I accomplished an important assignment at work, which made me super happy and proud.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9345703125
}"
I accomplished a lot yesterday at work and felt very satisfied with my performance.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9111328125
}"
how happy i am in my current relationship and how much I want it to be a permanent thing in my life.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.86875
}"
Happy that I'm trying to work toward my goal of losing weight.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8098958333333334
}"
Had a wonderful and insightful conversation with my best friend. Many of the things we talked about we were on the same wavelength.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6159855769230769
}"
Got to spend the evening with my family.  We were just chilling and chatting about our days (work and school),"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.71625
}"
God was part of my life yesterday as he is everyday and everyday is great because of God.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.84140625
}"
God paints the most beautiful mornings. Beautiful sunrise and the Fall scenery is breath taking.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8651315789473685
}"
"GOD is the core of my being and existence. Everything revolves around it in my world. Family, work, friends, etc. My decisions are influenced by my belief and my faith in GOD. GOD is goodness, peace, love, protection, wisdom and acceptance. It does not get any better than that.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.4874067164179105
}"
God is always a part of my dayHe makes me feel better when I am sad or having a rough time.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.12
}"
"God and my faith are very important to me. I live my life in a way that emanates this. Going to Biblke Study , I was so happy to see the 2 young girls attending and then scripture verses stating ""to the young' a I knew God was speaking directly to them. It is in these occasions that i can really see and feel God in my life and that makes me happy","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5730337078651685
}"
God always there to help,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8140625
}"
Glen stopped by last night so we could go over the state elections from Tuesday. He keeps seeing hope in these results where I see a repeat of 2016 That's his faith as an acadeic in these idioy polls.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.334375
}"
exercising makes me feel like the best version of myself. i look forward to it every morning with my son when i wake up in the morning.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8689516129032258
}"
Exercising feels like meditation it clears my mind and makes me feel energized.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.78046875
}"
Every night we have dinner as a family. It means a lot to us as it's a special time together to be calm and relaxed outside of work and school.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7753378378378378
}"
"Every morning I take my son to school and husband to work, then head home to work my job and take care of the household. I most look forward to them returning home to me, so we can spend the evening together. I missed them, as always and was so happy when they got home!","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5763319672131147
}"
Cooking good food makes me feel good. I am happy about what I made.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9241727941176472
}"
Continued with the physiotherapy exercise after being pushed by my daughter. Great to have a daughter who care for me so much.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6535560344827587
}"
Completed the most important project of my career. Now I can move on to other important projects. Completely satisfied with my work.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8188657407407407
}"
Both if my kids had their belt test in karate class and they warned thier new belts. I was so proud of them!!,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.3709677419354839
}"
"Bleak cold snowy day, I think I have SAD. Spent too much time on the internet reading random articles and doing mturk hits, instead of starting my day reading my Bible, praying and journaling. But I finally felt anxious enough to get motivated and did it later in the afternoon, as well as worked on Bible study I will teach next week. That perked me up and felt like I had done something good for myself and my little niche of the world.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.16515625
}"
Being with my family yesterday made me feel happy simply due to how we all spent time together. Being off social media made a big difference for us all to talk and laugh together. My oldest son spent a lot of time with his younger brother by playing with him. The sound of laughter was amazing and is not something that is a daily activity. To have us all together communicating and joking together was a great feeling and one that is not a daily activity.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7295918367346939
}"
Being able to take care of my family's needs brings so much joy and happiness. They are the most important part of my day.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9105603448275862
}"
Basically had to complete reviews for people and give them good news for their performance for the quarter.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.775390625
}"
At the end of the day all you have is family. I am so proud to share my life with my children.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8541666666666666
}"
As a government employee I'm at home a lot right now.  I get to see my kids from the time they wake up to the time they wake up to the time they go to bed.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5093005952380952
}"
An article I wrote was published and quickly got high praise reviews. Yippee!,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8556985294117647
}"
"Although her behavior has been difficult lately, my little girl is still the best part of my day. She makes me laugh and smile and she is so loving. I adore her.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.765625
}"
"All day, I struggled with period cramps and excessive bleeding. This is my first period in 10 months. I felt awful throughout the day so I was constantly reminded of it. Hot flashes, cramps, and having to change pads every hour or so.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.6473214285714286
}"
"After work, my husband and I put our daughter to bed and decided to start painting our new home. We worked together as a team to tape and start cutting in. We got a lot more done than I thought we would. We spend the night laughing and catching up with each other since he works pretty demanding hours.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.36190257352941174
}"
"After a restful sleep, woke up without alarm and fixed my coffee. I sat down to meditate on God's word. I felt calm and at peace the rest of the day.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6194196428571429
}"
"After a 10 minute walk, raked leaves, tidied up the yard before a threat of snow. The air was cool/crisp and I felt great afterward!","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.39546130952380953
}"
"A two mile morning walk in invigorating circumstances, coolness/wind, made me satisfied that I did so and proud as well.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9116379310344828
}"
"A group of my friends and I met up to play D&D. It was great, we'd taken a four-month hiatus (two of us have kids, another two had exams) and it was like we'd never stopped. Rolling dice, eating pizza and drinking beer into the night, catching up, killing orcs and whatnot.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6001602564102564
}"
A friend of mine sent me a video that I could not even watch 10 seconds of. It was so upsetting to me. I messaged him back yelling at him for sending me such a disturbing video. He apologized and said he understood and that he would never do that again. I can only tell you the few seconds that I did see. It was a man with what I am assuming was his infant child. The man was slapping the baby because the baby could not stand up on their own. He was also yelling at that poor baby was screaming. I could NOT watch anymore. It still bothers me because that is one of those things that you can not unsee!!,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.6768790849673203
}"
A friend had an art gallery opening. I didn't want to go because I was tired and the event was a half hour away. But I went and was supportive and had a good time.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.10984002976190475
}"
"Yesterday we grilled salmon for dinner, even though it was 40º F outside and I had bought the salmon a week ago. We took a chance on it being bad, but it was delicious and no one got sick. I'm looking forward to grilling salmon again.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.4663254310344827
}"
I love to cook. I am really good at it and it keeps me from spending too much money on food all the time.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7920673076923077
}"
Yesterday I had finally finished the 1 hour long workout video that I have been putting off for  a long time. Words could not express how proud I was of myself and how happy I was when the video was over.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.17068614130434784
}"
"Yesterday, I had a great conversation on the phone with my old friend, Matt.  We made plans for Friday night to get together and catch up.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7998991935483871
}"
"I was able to connect via phone with my old friend, Mary, yesterday, which was her birthday. We have been friends for over thirty years but we live thousands of miles apart for the past few year as so it has been hard to continue our communications. It made me realize the importance of enduring friendship as we caught up with each other’s lives on her special day, which turned out to be a happy and special day for me too.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.39314516129032256
}"
When I went home I hung out with my wife. We cuddled and watched youtube videos.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5436789772727273
}"
"Yesterday, the stress of all I was trying to accomplish started catching up with me. I took some time to just snuggle our pup, and while there, was praying and telling God that I really needed some help. I could feel a very calm rush come over me, and could feel His arms around me.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.171875
}"
"After my presentation, I headed back home to rest. I slept like 13 hours straight. I haven't had rest this long for a very long time!","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.5267857142857143
}"
yesterday was so good with the boys. I had a deep conversation with Connor about his feelings. I helped Nicholas with his reading. And I just hung out with James.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6456925675675675
}"
"I have been with the love of my life for over 45 years.  We have not every had to ""work"" on our marriage because we each tend to get our greatest joy from making the other person happy.  The time that I hugged her in the kitchen in the evening contained a lifetime of communications.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7132056451612904
}"
We watched I Was Prey in a glorious hours-long binge. It was fun and relaxing.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8338068181818182
}"
Yesterday i was able to break my diet due to the celebration and enjoy a nice piece of a delicious German chocolate cake. i have been avoiding sweets and this was such a nice and decadent treat that i was able to enjoy without guilt because i know i had been good on my diet.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7649647887323944
}"
"My family took me out to my favorite restaurant, ordered my favorite dish (lobster) and had a birthday cake sent to my table.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.853448275862069
}"
"Yesterday I ate a steak and lots of vegetables for dinner in order to get in my daily protein. I felt ""FULL"" and complete.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7444556451612904
}"
"I had groceries delivered yesterday, and because I had just ""restocked"" my fridge and pantry, and had a productive day at work, I stopped early for the day and spent my afternoon preparing a delicious dinner. I slow-roasted a pork loin which I then shredded and cooked in a glaze and made into Chinese pork wraps, which were delicious and filling. Because I love to cook, this was a very enjoyable way to spend my afternoon","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7023195876288659
}"
I've been trying to get control of my recent weight gain and yesterday was day one of my new push in that direction. I renewed my daily food log online and went through the entire day without breaking my rules. Day one a very big success.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6899038461538461
}"
My mom had her biopsy to test if she has cancer. I am very worried that she might have uterine cancer and it would be the fault of the doctors if it is more aggressive than we originally thought. The reason I blame them is that they have been denying her a hysterectomy for years despite her uterine fibroids cause her so much phyiscal pain and distress.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.742816091954023
}"
"Work was trash today as usual, rotten work, rotten clients, rotten bosses. Still, it's a means to an end, and I'll get a break in a couple days.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.37875
}"
The MOOC live webcast was great last night. I had some excellent insights for my own writing.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8764880952380952
}"
Yesterday I finished my fourth week in a row of 30 minutes of exercise.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.84814453125
}"
"I manage a state forest.  In managing the state forest I oversee close to 40,000 acres of land.  In managing this land I have to work with many landowners who live along our boundary.  I had an incident yesterday where I had two people almost come to blows with wild claims against each other. Their claim involved the forest and I was put in the middle of it.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.3834134615384616
}"
"Yesterday I spent two hours working out at our clubhouse gym. I walked on the treadmill for 500 calories, lifted weights and then rode an exercise bike for three miles.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6059966216216216
}"
"I was able to spend some time with my husband yesterday, which was pretty important since he's leaving on a work trip in a couple of weeks and will be gone for a while. I love spending time with him and I make it a priority.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5391995614035088
}"
I was happy about the exercise I was doing yesterday. I am trying to take part in an exercise challenge so every week I increase my activity. The activity increases have been going really well. I feel more energized when I exercise and I feel calmer and happier overall.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6713169642857143
}"
My husband cooked a porterhouse steak by pan frying it. It was absolutely delicious. A great dinner.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.795516304347826
}"
"My wife and I have been on a low carb diet and eating at home most of the time to better control that. It's necessary for us to reduce our blood sugar and blood pressure. But yesterday we decided that if we picked from the menu carefully, we could go out to eat and enjoy a restaurant meal. It had been so long since we last did that that it was a real treat.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5105377906976745
}"
I was able to have dinner with family at a table. We don't often eat together but yesterday everyone was at home at the same time and we shared a feast. We enjoyed the communication we had and thoughts we shared. It was a fun evening and it made me appreciate for what I have in life. I felt very happy.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6113013698630136
}"
After I went hunting I got dinner and came home to spend time with my family. We were able to talk about our day and then we watched a movie together. We had a great time and enjoyed each other's company.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.623405612244898
}"
"My father called me on the phone. He is an older man and seldom makes phone calls. He is so afraid he'll be bothering you if he calls, so I usually have to be the one to call. Hearing from him out of the blue was great.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.022157866379310345
}"
"Though I was sick yesterday, my husband was there to take care of my every need and made me feel safe and content.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.624375
}"
Yesterday my friends reminded me that I respected and valued. It felt nice to know that my friends consider me important and valued.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.828125
}"
"After leaving the doctors office yesterday, I came home and slept for 14 hours. I guess I needed it.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.16559103260869565
}"
I have been putting off doing laundry for at least two weeks and I finally got around to doing it yesterday. I actually needed to get out of the house anyway.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.6061580882352942
}"
Yesterday I chatted with my brother.  He was at the dmv so I just talked while he typed.  It was fun too see him.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.4005681818181818
}"
From there we went to Red Robin and ate dinner. It was a nice evening and relaxing we got their early so it was not busy. I also used my birthday free burger coupon so saved some money too. All in all it was a great evening with my family.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6664870689655172
}"
"Well, in the afternoon I was able to meet up with my wife and son. We met at a local street taco place and enjoyed a good meal.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8339285714285715
}"
"My husband said he thought I must be losing weight because I look thinner. Since I've actually gained weight, I figure he's blinded by love, lol. But at least I'm hiding all this extra weight well with the way I'm dressing.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.5651939655172413
}"
Yesterday I read several chapters of Glass Beads Game by Herman Hesse. I like the book very much it makes me calm.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6734913793103449
}"
